DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
13659,Transmission,,,,,,1,A1,1,7,41,9,12/8/22,1:43:22 PM,20221208_134322913_Printed_T1_F7_R9_C41_Trans__Run.png
13659,268.57,147.74,31.68,1.47,1.04,143.84,,,,,,,,,
13669,Transmission,,,,,,1,A1,1,7,59,9,12/8/22,1:43:25 PM,20221208_134325012_Printed_T1_F7_R9_C59_Trans__Run.png
13669,340.97,170.17,29.47,1.75,1.08,147.89,,,,,,,,,
13696,Transmission,,,,,,1,A1,1,7,5,27,12/8/22,1:43:28 PM,20221208_134328208_Printed_T1_F7_R27_C5_Trans__Run.png
13696,329.92,135.13,28.7,1.79,1.08,149.77,,,,,,,,,
13718,Transmission,,,,,,1,A1,1,7,23,27,12/8/22,1:43:30 PM,20221208_134330960_Printed_T1_F7_R27_C23_Trans__Run.png
13718,226.21,164.7,29,1.66,1.06,147.96,,,,,,,,,
13731,Transmission,,,,,,1,A1,1,7,41,27,12/8/22,1:43:33 PM,20221208_134333167_Printed_T1_F7_R27_C41_Trans__Run.png
13731,316.07,166.69,27.09,1.63,1.06,142.38,,,,,,,,,
13837,Transmission,,,,,,1,A1,1,7,59,27,12/8/22,1:43:41 PM,20221208_134341396_Printed_T1_F7_R27_C59_Trans__Run.png
13837,219.03,150.82,25.56,1.69,1.07,151.57,,,,,,,,,
13891,Transmission,,,,,,1,A1,1,7,5,33,12/8/22,1:43:46 PM,20221208_134346297_Printed_T1_F7_R33_C5_Trans__Run.png
13891,199.91,145.48,27.63,1.56,1.05,144.1,,,,,,,,,
14027,Transmission,,,,,,1,A1,1,7,23,33,12/8/22,1:43:56 PM,20221208_134356285_Printed_T1_F7_R33_C23_Trans__Run.png
14027,246.69,143.68,32.77,1.58,1.05,149.69,,,,,,,,,
14062,Transmission,,,,,,1,A1,1,7,41,33,12/8/22,1:43:59 PM,20221208_134359891_Printed_T1_F7_R33_C41_Trans__Run.png
14062,349.41,166.31,31.89,1.61,1.06,154.59,,,,,,,,,
14173,Transmission,,,,,,1,A1,1,7,59,33,12/8/22,1:44:08 PM,20221208_134408426_Printed_T1_F7_R33_C59_Trans__Run.png
14173,335.76,132.79,29.8,1.58,1.05,139.05,,,,,,,,,
14235,Transmission,,,,,,1,A1,1,7,5,51,12/8/22,1:44:13 PM,20221208_134413868_Printed_T1_F7_R51_C5_Trans__Run.png
14235,271.01,140.38,29.52,1.59,1.05,139.43,,,,,,,,,
14251,Transmission,,,,,,1,A1,1,7,23,51,12/8/22,1:44:16 PM,20221208_134416241_Printed_T1_F7_R51_C23_Trans__Run.png
14251,312.76,160.77,31.59,1.56,1.05,145.55,,,,,,,,,
14268,Transmission,,,,,,1,A1,1,7,41,51,12/8/22,1:44:18 PM,20221208_134418704_Printed_T1_F7_R51_C41_Trans__Run.png
14268,334.01,166.05,27.37,1.89,1.1,156.17,,,,,,,,,
14358,Transmission,,,,,,1,A1,1,7,59,51,12/8/22,1:44:25 PM,20221208_134425969_Printed_T1_F7_R51_C59_Trans__Run.png
14358,344.13,132.24,28.06,1.62,1.06,142.36,,,,,,,,,
14471,Transmission,,,,,,1,A1,1,7,5,57,12/8/22,1:44:34 PM,20221208_134434686_Printed_T1_F7_R57_C5_Trans__Run.png
14471,242.73,162.11,29.35,1.6,1.05,149.27,,,,,,,,,
14510,Transmission,,,,,,1,A1,1,7,23,57,12/8/22,1:44:38 PM,20221208_134438528_Printed_T1_F7_R57_C23_Trans__Run.png
14510,313.37,140,25,1.76,1.08,146.68,,,,,,,,,
14535,Transmission,,,,,,1,A1,1,7,41,57,12/8/22,1:44:41 PM,20221208_134441502_Printed_T1_F7_R57_C41_Trans__Run.png
14535,287.99,165.69,23.77,2,1.12,146.26,,,,,,,,,
14580,Transmission,,,,,,1,A1,1,7,59,57,12/8/22,1:44:45 PM,20221208_134445819_Printed_T1_F7_R57_C59_Trans__Run.png
14580,191.36,141.32,28.17,1.56,1.05,135.33,,,,,,,,,
14698,Transmission,,,,,,1,A1,1,8,5,9,12/8/22,1:44:54 PM,20221208_134454835_Printed_T1_F8_R9_C5_Trans__Run.png
14698,243.45,142.61,29.52,1.44,1.03,134.79,,,,,,,,,
14707,Transmission,,,,,,1,A1,1,8,23,9,12/8/22,1:44:56 PM,20221208_134456973_Printed_T1_F8_R9_C23_Trans__Run.png
14707,326.55,165.44,30.14,1.64,1.06,147.81,,,,,,,,,
14746,Transmission,,,,,,1,A1,1,8,41,9,12/8/22,1:45:01 PM,20221208_134501004_Printed_T1_F8_R9_C41_Trans__Run.png
14746,334.6,138.51,30.97,1.69,1.07,154.13,,,,,,,,,
14818,Transmission,,,,,,1,A1,1,8,5,27,12/8/22,1:45:07 PM,20221208_134507234_Printed_T1_F8_R27_C5_Trans__Run.png
